name,geometry,lat,lon
Peshawar Shinwari,POINT (73.0149678 33.6932216),33.6932216,73.0149678
孙芸旅馆 Restaurant,POINT (73.0112525 33.6862838),33.6862838,73.0112525
چینی محبت,POINT (73.0339955 33.713897),33.713897,73.0339955
Lavista Cheese,POINT (73.0338979 33.7135192),33.7135192,73.0338979
Huaxiaqing Restaurant,POINT (73.0342055 33.7140229),33.7140229,73.0342055
خصوصی گرم برتن,POINT (73.0364167 33.7155204),33.7155204,73.0364167
Chinese Restaurant,POINT (73.0378757 33.717214),33.717214,73.0378757
Daily Meal,POINT (73.0431634 33.7192009),33.7192009,73.0431634
چوانکسنگ ہوٹل,POINT (73.0486339 33.7135207),33.7135207,73.0486339
Abbasi Restaurant & Naan Shop,POINT (73.0423338 33.7166856),33.7166856,73.0423338
نیو اورینٹل سنکیانگ ہوٹل,POINT (73.0450624 33.7131327),33.7131327,73.0450624
Chinese Restaurant,POINT (73.0422228 33.7054345),33.7054345,73.0422228
Haleem Ghar,POINT (73.0388392 33.7119851),33.7119851,73.0388392
Lahori Tikka & Take Away,POINT (73.0384334 33.7106399),33.7106399,73.0384334
Lodhi Restaurant,POINT (73.0410308 33.7109253),33.7109253,73.0410308
Mister Naan & Restaurant,POINT (73.0460692 33.7091354),33.7091354,73.0460692
Mashallah Restaurant,POINT (73.0460494 33.7088643),33.7088643,73.0460494
Texas Steak House,POINT (73.0476565 33.7275103),33.7275103,73.0476565
Char Grill Central - CGC,POINT (73.0576451 33.7264413),33.7264413,73.0576451
Mr Chips,POINT (73.0537104 33.7195471),33.7195471,73.0537104
MJ's Bakery & Coffee House,POINT (73.0553382 33.7194022),33.7194022,73.0553382
Kabul Restaurant,POINT (73.0561589 33.7211618),33.7211618,73.0561589
Captain Cook's,POINT (73.0573952 33.7217562),33.7217562,73.0573952
PlanC,POINT (73.058805 33.7218302),33.7218302,73.058805
Tiramisu Restaurant,POINT (73.0592852 33.7214809),33.7214809,73.0592852
Yummy - 36 Restaurant,POINT (73.0596366 33.7229255),33.7229255,73.0596366
چینی ہوٹل,POINT (73.0551622 33.7116171),33.7116171,73.0551622
Urumqi Muslim Restaurant,POINT (73.0568212 33.7164252),33.7164252,73.0568212
Lahore Restaurant,POINT (73.0201208 33.7149284),33.7149284,73.0201208
