place_id,name,lat,lon,rating,user_ratings_total,types
ChIJX7morTiW3zgRTs59_DMRdAY,Rite Aid Pharmacy,33.6450527,72.96356920000001,4.7,33.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJCT1CQe2X3zgRFBgfKqrcJnA,First Aid Pharmacy,33.6450169,72.9635922,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJS4OprTiW3zgRx52qXrsh_2U,New Life Pharmacy,33.6449686,72.9636531,4.0,2.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJvW55g2iX3zgREZQNtJ6dNAg,D-Watson Chemist,33.6458197,72.9643094,3.9,168.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJi5y2Tz-W3zgRyEFpb_k-DDE,Mohsin Medical Store,33.6453838,72.9643328,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJKycvyxqX3zgRHrhTRQZK7Os,ACH-Pharmacy (Anwar Capital Hospital - Pharmacy),33.6450688,72.96420379999999,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJxxrF1GCX3zgRejCSAwZO5rk,Mediclin Pharmacy & Clinic,33.6428622,72.95267009999999,5.0,1.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJyyF6xRyX3zgRE-3daViSCaQ,Taimoor Pharmacist,33.6426291,72.9521192,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJj5pGE0KX3zgRtywzpZje17w,S&S Pharmacy,33.6428195,72.9518433,4.5,4.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJw5UQrF6X3zgRrU3OzgeKXyQ,Family pharmacy,33.6480625,72.9669375,4.7,71.0,"pharmacy, health, point_of_interest, store, establishment"
ChIJTWXaIeuX3zgRCiEGRNQKNU8,Malik Ahsan pets & veterinary specialist,33.64832579999999,72.96780919999999,4.1,8.0,"pharmacy, veterinary_care, pet_store, health, point_of_interest, store, establishment"
ChIJU0-uLBGX3zgRQy07E93Jzw8,MediBest Pharmacy,33.6549844,72.963588,,,"pharmacy, health, point_of_interest, store, establishment"
ChIJrUuZqySW3zgRqJaxMH_Jbi8,Pharmacy,33.6555425,72.963478,3.3,9.0,"pharmacy, health, point_of_interest, store, establishment"
